query	document	reference	score	query_type
Who built the ark?	Thus did Noah; according to all that God commanded him, so did he.	Genesis 6:22	3	factual
Who built the ark?	But with thee will I establish my covenant; and thou shalt come into the ark, thou, and thy sons, and thy wife, and thy sons' wives with thee.	Genesis 6:18	2	factual
Who was Nephi?	And it came to pass that he had two sons. He gave unto the eldest the name of Nephi, and unto the youngest, the name of Lehi. And they began to grow up unto the Lord.	Helaman 3:21	1	factual
Who was Nephi?	Wherefore, I, Nephi, to be obedient to the commandments of the Lord, went and made these plates upon which I have engraven these things.	2 Nephi 5:31	2	factual
Who was Nephi?	And Nephi, who was the father of Nephi, who had the charge of the records, did not return to the land of Zarahemla, and could nowhere be found in all the land.	3 Nephi 2:9	1	factual
Who was Nephi?	For I, Nephi, was constrained to speak unto them, according to his word; for I had spoken many things unto them, and also my father, before his death; many of which sayings are written upon mine other plates; for a more history part are written upon mine other plates.	2 Nephi 4:14	2	factual
Who was Nephi?	And my people would that we should call the name of the place Nephi; wherefore, we did call it Nephi.	2 Nephi 5:8	1	factual
How is the fall of Adam described in different scriptures?	And he said unto them: Because that Adam fell, we are; and by his fall came death; and we are made partakers of misery and woe.	Moses 6:48	3	cross_reference
How is the fall of Adam described in different scriptures?	Now Alma said unto him: This is the thing which I was about to explain. Now we see that Adam did fall by the partaking of the forbidden fruit, according to the word of God; and thus we see, that by his fall, all mankind became a lost and fallen people.	Alma 12:22	3	cross_reference
How is the fall of Adam described in different scriptures?	And I, the Lord God, called unto Adam, and said unto him: Where goest thou?	Moses 4:15	1	cross_reference
How is the fall of Adam described in different scriptures?	And I, the Lord God, said unto the woman: What is this thing which thou hast done? And the woman said: The serpent beguiled me, and I did eat.	Moses 4:19	3	cross_reference
How is the fall of Adam described in different scriptures?	And I, the Lord God, said unto mine Only Begotten: Behold, the man is become as one of us to know good and evil; and now lest he put forth his hand and partake also of the tree of life, and eat and live forever,	Moses 4:28	2	cross_reference
What does scripture say about obedience?	And thou shalt return and obey the voice of the LORD, and do all his commandments which I command thee this day.	Deuteronomy 30:8	3	thematic
What does scripture say about obedience?	If ye be willing and obedient, ye shall eat the good of the land:	Isaiah 1:19	3	thematic
What does scripture say about obedience?	Whether it be good, or whether it be evil, we will obey the voice of the LORD our God, to whom we send thee; that it may be well with us, when we obey the voice of the LORD our God.	Jeremiah 42:6	3	thematic
What does scripture say about obedience?	A blessing, if ye obey the commandments of the LORD your God, which I command you this day:	Deuteronomy 11:27	3	thematic
What does scripture say about obedience?	Thou shalt therefore obey the voice of the LORD thy God, and do his commandments and his statutes, which I command thee this day.	Deuteronomy 27:10	3	thematic
What is the covenant of baptism?	Now I say unto you, if this be the desire of your hearts, what have you against being baptized in the name of the Lord, as a witness before him that ye have entered into a covenant with him, that ye will serve him and keep his commandments, that he may pour out his Spirit more abundantly upon you?	Mosiah 18:10	3	thematic
What is the covenant of baptism?	The like figure whereunto even baptism doth also now save us (not the putting away of the filth of the flesh, but the answer of a good conscience toward God,) by the resurrection of Jesus Christ:	1 Peter 3:21	2	thematic
What is the covenant of baptism?	The person who is called of God and has authority from Jesus Christ to baptize, shall go down into the water with the person who has presented himself or herself for baptism, and shall say, calling him or her by name: Having been commissioned of Jesus Christ, I baptize you in the name of the Father, and of the Son, and of the Holy Ghost. Amen.	D&C 20:73	1	thematic
What is the covenant of baptism?	And again, by way of commandment to the church concerning the manner of baptism—All those who humble themselves before God, and desire to be baptized, and come forth with broken hearts and contrite spirits, and witness before the church that they have truly repented of all their sins, and are willing to take upon them the name of Jesus Christ, having a determination to serve him to the end, and truly manifest by their works that they have received of the Spirit of Christ unto the remission of their sins, shall be received by baptism into his church.	D&C 20:37	3	thematic
What is the covenant of baptism?	And when he had said these words, the Spirit of the Lord was upon him, and he said: Helam, I baptize thee, having authority from the Almighty God, as a testimony that ye have entered into a covenant to serve him until you are dead as to the mortal body; and may the Spirit of the Lord be poured out upon you; and may he grant unto you eternal life, through the redemption of Christ, whom he has prepared from the foundation of the world.	Mosiah 18:13	3	thematic
What do different scriptures teach about priesthood authority?	The Melchizedek Priesthood holds the right of presidency, and has power and authority over all the offices in the church in all ages of the world, to administer in spiritual things.	D&C 107:8	3	cross_reference
What do different scriptures teach about priesthood authority?	The second priesthood is called the Priesthood of Aaron, because it was conferred upon Aaron and his seed, throughout all their generations.	D&C 107:13	3	cross_reference
What do different scriptures teach about priesthood authority?	The high priest and elder are to administer in spiritual things, agreeable to the covenants and commandments of the church; and they have a right to officiate in all these offices of the church when there are no higher authorities present.	D&C 107:12	3	cross_reference
What do different scriptures teach about priesthood authority?	We believe that a man must be called of God, by prophecy, and by the laying on of hands by those who are in authority, to preach the Gospel and administer in the ordinances thereof.	Articles of Faith 1:5	3	cross_reference
What do different scriptures teach about priesthood authority?	But as a high priest of the Melchizedek Priesthood has authority to officiate in all the lesser offices, he may officiate in the office of bishop when no literal descendant of Aaron can be found, provided he is called and set apart and ordained unto this power by the hands of the Presidency of the Melchizedek Priesthood.	D&C 107:17	3	cross_reference
How is the creation described in different volumes of scripture?	And it came to pass that the Lord spake unto Moses, saying: Behold, I reveal unto you concerning this heaven, and this earth; write the words which I speak. I am the Beginning and the End, the Almighty God; by mine Only Begotten I created these things; yea, in the beginning I created the heaven, and the earth upon which thou standest.	Moses 2:1	3	cross_reference
How is the creation described in different volumes of scripture?	These are the generations of the heavens and of the earth when they were created, in the day that the LORD God made the earth and the heavens,	Genesis 2:4	3	cross_reference
How is the creation described in different volumes of scripture?	And now, behold, I say unto you, that these are the generations of the heaven and of the earth, when they were created, in the day that I, the Lord God, made the heaven and the earth,	Moses 3:4	3	cross_reference
How is the creation described in different volumes of scripture?	In the beginning God created the heaven and the earth.	Genesis 1:1	3	cross_reference
How is the creation described in different volumes of scripture?	And I, God, made the firmament and divided the waters, yea, the great waters under the firmament from the waters which were above the firmament, and it was so even as I spake.	Moses 2:7	3	cross_reference
What is the plan of salvation?	And now, behold, I say unto you: This is the plan of salvation unto all men, through the blood of mine Only Begotten, who shall come in the meridian of time.	Moses 6:62	3	thematic
What is the plan of salvation?	We believe that through the Atonement of Christ, all mankind may be saved, by obedience to the laws and ordinances of the Gospel.	Articles of Faith 1:3	3	thematic
What is the plan of salvation?	Now, if it had not been for the plan of redemption, which was laid from the foundation of the world, there could have been no resurrection of the dead; but there was a plan of redemption laid, which shall bring to pass the resurrection of the dead, of which has been spoken.	Alma 12:25	3	thematic
What is the plan of salvation?	That through his atonement, and by obedience to the principles of the gospel, mankind might be saved.	D&C 138:4	3	thematic
What is the plan of salvation?	And now remember, my son, if it were not for the plan of redemption, (laying it aside) as soon as they were dead their souls were miserable, being cut off from the presence of the Lord.	Alma 42:11	3	thematic
How should we pray according to scripture?	And he said unto them, When ye pray, say, Our Father which art in heaven, Hallowed be thy name. Thy kingdom come. Thy will be done, as in heaven, so in earth.	Luke 11:2	3	thematic
How should we pray according to scripture?	After this manner therefore pray ye: Our Father which art in heaven, Hallowed be thy name.	Matthew 6:9	3	thematic
How should we pray according to scripture?	After this manner therefore pray ye: Our Father who art in heaven, hallowed be thy name.	3 Nephi 13:9	3	thematic
How should we pray according to scripture?	But when ye pray, use not vain repetitions, as the heathen do: for they think that they shall be heard for their much speaking.	Matthew 6:7	3	thematic
How should we pray according to scripture?	And it came to pass, that, as he was praying in a certain place, when he ceased, one of his disciples said unto him, Lord, teach us to pray, as John also taught his disciples.	Luke 11:1	3	thematic
What does the Book of Mormon teach about faith?	Behold, it was the faith of Nephi and Lehi that wrought the change upon the Lamanites, that they were baptized with fire and with the Holy Ghost.	Ether 12:14	3	thematic
What does the Book of Mormon teach about faith?	Behold, it was the faith of Ammon and his brethren which wrought so great a miracle among the Lamanites.	Ether 12:15	3	thematic
What does the Book of Mormon teach about faith?	And now, I, Moroni, would speak somewhat concerning these things; I would show unto the world that faith is things which are hoped for and not seen; wherefore, dispute not because ye see not, for ye receive no witness until after the trial of your faith.	Ether 12:6	3	thematic
What does the Book of Mormon teach about faith?	And it is by faith that my fathers have obtained the promise that these things should come unto their brethren through the Gentiles; therefore the Lord hath commanded me, yea, even Jesus Christ.	Ether 12:22	2	thematic
What does the Book of Mormon teach about faith?	And now as I said concerning faith—faith is not to have a perfect knowledge of things; therefore if ye have faith ye hope for things which are not seen, which are true.	Alma 32:21	3	thematic
What is the role of the Holy Ghost?	But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you.	John 14:26	3	thematic
What is the role of the Holy Ghost?	And the Holy Ghost beareth record of the Father and me; and the Father giveth the Holy Ghost unto the children of men, because of me.	3 Nephi 28:11	3	thematic
What is the role of the Holy Ghost?	Wherefore, I now send upon you another Comforter, even upon you my friends, that it may abide in your hearts, even the Holy Spirit of promise; which other Comforter is the same that I promised unto my disciples, as is recorded in the testimony of John.	D&C 88:3	3	thematic
What is the role of the Holy Ghost?	And it shall come to pass, that if you shall ask the Father in my name, in faith believing, you shall receive the Holy Ghost, which giveth utterance, that you may stand as a witness of the things of which you shall both hear and see, and also that you may declare repentance unto this generation.	D&C 14:8	3	thematic
What is the role of the Holy Ghost?	Howbeit when he, the Spirit of truth, is come, he will guide you into all truth: for he shall not speak of himself; but whatsoever he shall hear, that shall he speak: and he will shew you things to come.	John 16:13	3	thematic
What are the names of the twelve apostles?	Now the names of the twelve apostles are these; The first, Simon, who is called Peter, and Andrew his brother; James the son of Zebedee, and John his brother;	Matthew 10:2	3	factual
What are the names of the twelve apostles?	And Andrew, and Philip, and Bartholomew, and Matthew, and Thomas, and James the son of Alphæus, and Thaddæus, and Simon the Canaanite,	Mark 3:18	2	factual
What are the names of the twelve apostles?	Simon, (whom he also named Peter,) and Andrew his brother, James and John, Philip and Bartholomew,	Luke 6:14	3	factual
What are the names of the twelve apostles?	And when it was day, he called unto him his disciples: and of them he chose twelve, whom also he named apostles;	Luke 6:13	1	factual
What are the names of the twelve apostles?	Philip, and Bartholomew; Thomas, and Matthew the publican; James the son of Alphæus, and Lebbæus, whose surname was Thaddæus;	Matthew 10:3	3	factual
Who translated the Book of Mormon?	Two days after the arrival of Mr. Cowdery (being the 7th of April) I commenced to translate the Book of Mormon, and he began to write for me.	Joseph Smith—History 1:67	3	factual
Who translated the Book of Mormon?	By this timely aid was I enabled to reach the place of my destination in Pennsylvania; and immediately after my arrival there I commenced copying the characters off the plates. I copied a considerable number of them, and by means of the Urim and Thummim I translated some of them, which I did between the time I arrived at the house of my wife's father, in the month of December, and the February following.	Joseph Smith—History 1:62	3	factual
Who translated the Book of Mormon?	And now he translated them by the means of those two stones which were fastened into the two rims of a bow.	Mosiah 28:13	1	factual
Who translated the Book of Mormon?	"I went to the city of New York, and presented the characters which had been translated, with the translation thereof, to Professor Charles Anthon, a gentleman celebrated for his literary attainments. Professor Anthon stated that the translation was correct, more so than any he had before seen translated from the Egyptian. I then showed him those which were not yet translated, and he said that they were Egyptian, Chaldaic, Assyriac, and Arabic; and he said they were true characters. He gave me a certificate, certifying to the people of Palmyra that they were true characters, and that the translation of such of them as had been translated was also correct. I took the certificate and put it into my pocket, and was just leaving the house, when Mr. Anthon called me back, and asked me how the young man found out that there were gold plates in the place where he found them. I answered that an angel of God had revealed it unto him.	Joseph Smith—History 1:64	1	factual
Who translated the Book of Mormon?	"He then said to me, 'Let me see that certificate.' I accordingly took it out of my pocket and gave it to him, when he took it and tore it to pieces, saying that there was no such thing now as ministering of angels, and that if I would bring the plates to him he would translate them. I informed him that part of the plates were sealed, and that I was forbidden to bring them. He replied, 'I cannot read a sealed book.' I left him and went to Dr. Mitchell, who sanctioned what Professor Anthon had said respecting both the characters and the translation."	Joseph Smith—History 1:65	2	factual
What do scriptures say about prophets being rejected?	And he said, Verily I say unto you, No prophet is accepted in his own country.	Luke 4:24	3	cross_reference
What do scriptures say about prophets being rejected?	But Jesus said unto them, A prophet is not without honour, but in his own country, and among his own kin, and in his own house.	Mark 6:4	3	cross_reference
What do scriptures say about prophets being rejected?	Behold ye are worse than they; for as the Lord liveth, if a prophet come among you and declareth unto you the word of the Lord, which testifieth of your sins and iniquities, ye are angry with him, and cast him out and seek all manner of ways to destroy him; yea, you will say that he is a false prophet, and that he is a sinner, and of the devil, because he testifieth that your deeds are evil.	Helaman 13:26	3	cross_reference
What do scriptures say about prophets being rejected?	And it shall come to pass in that day, that the prophets shall be ashamed every one of his vision, when he hath prophesied; neither shall they wear a rough garment to deceive:	Zechariah 13:4	1	cross_reference
What do scriptures say about prophets being rejected?	Yea, wo unto this people, because of this time which has arrived, that ye do cast out the prophets, and do mock them, and cast stones at them, and do slay them, and do all manner of iniquity unto them, even as they did of old time.	Helaman 13:24	3	cross_reference
What does scripture teach about charity?	And though I bestow all my goods to feed the poor, and though I give my body to be burned, and have not charity, it profiteth me nothing.	1 Corinthians 13:3	3	thematic
What does scripture teach about charity?	Behold, the Lord hath forbidden this thing; wherefore, the Lord God hath given a commandment that all men should have charity, which charity is love. And except they should have charity they were nothing. Wherefore, if they should have charity they would not suffer the laborer in Zion to perish.	2 Nephi 26:30	3	thematic
What does scripture teach about charity?	Wherefore, my beloved brethren, if ye have not charity, ye are nothing, for charity never faileth. Wherefore, cleave unto charity, which is the greatest of all, for all things must fail—	Moroni 7:46	3	thematic
What does scripture teach about charity?	And above all things have fervent charity among yourselves: for charity shall cover the multitude of sins.	1 Peter 4:8	3	thematic
What does scripture teach about charity?	Let all your things be done with charity.	1 Corinthians 16:14	2	thematic
Who was the first prophet of the Restoration?	And the first preacher of this church unto the church, and before the world, yea, before the Gentiles; yea, and thus saith the Lord God, lo, lo! to the Jews also. Amen.	D&C 21:12	1	factual
Who was the first prophet of the Restoration?	Which commandments were given to Joseph Smith, Jun., who was called of God, and ordained an apostle of Jesus Christ, to be the first elder of this church;	D&C 20:2	3	factual
Who was the first prophet of the Restoration?	The messenger who visited us on this occasion and conferred this Priesthood upon us, said that his name was John, the same that is called John the Baptist in the New Testament, and that he acted under the direction of Peter, James and John, who held the keys of the Priesthood of Melchizedek, which Priesthood, he said, would in due time be conferred on us, and that I should be called the first Elder of the Church, and he (Oliver Cowdery) the second. It was on the fifteenth day of May, 1829, that we were ordained under the hand of this messenger, and baptized.	Joseph Smith—History 1:72	2	factual
Who was the first prophet of the Restoration?	Immediately on our coming up out of the water after we had been baptized, we experienced great and glorious blessings from our Heavenly Father. No sooner had I baptized Oliver Cowdery, than the Holy Ghost fell upon him, and he stood up and prophesied many things which should shortly come to pass. And again, so soon as I had been baptized by him, I also had the spirit of prophecy, when, standing up, I prophesied concerning the rise of this Church, and many other things connected with the Church, and this generation of the children of men. We were filled with the Holy Ghost, and rejoiced in the God of our salvation.	Joseph Smith—History 1:73	3	factual
Who was the first prophet of the Restoration?	He called me by name, and said unto me that he was a messenger sent from the presence of God to me, and that his name was Moroni; that God had a work for me to do; and that my name should be had for good and evil among all nations, kindreds, and tongues, or that it should be both good and evil spoken of among all people.	Joseph Smith—History 1:33	3	factual
What do different scriptures say about the Second Coming?	For behold, verily, verily, I say unto you, the time is soon at hand that I shall come in a cloud with power and great glory.	D&C 34:7	3	cross_reference
What do different scriptures say about the Second Coming?	For I say unto you, that ye shall not see me henceforth and know that I am he of whom it is written by the prophets, until ye shall say: Blessed is he who cometh in the name of the Lord, in the clouds of heaven, and all the holy angels with him. Then understood his disciples that he should come again on the earth, after that he was glorified and crowned on the right hand of God.	Joseph Smith—Matthew 1:1	3	cross_reference
What do different scriptures say about the Second Coming?	And it shall be a great day at the time of my coming, for all nations shall tremble.	D&C 34:8	3	cross_reference
What do different scriptures say about the Second Coming?	And then they shall look for me, and, behold, I will come; and they shall see me in the clouds of heaven, clothed with power and great glory; with all the holy angels; and he that watches not for me shall be cut off.	D&C 45:44	3	cross_reference
What do different scriptures say about the Second Coming?	And then shall they see the Son of man coming in the clouds with great power and glory.	Mark 13:26	3	cross_reference
What do scriptures teach about the nature of God?	We believe in God, the Eternal Father, and in His Son, Jesus Christ, and in the Holy Ghost.	Articles of Faith 1:1	3	cross_reference
What do scriptures teach about the nature of God?	And they are one God, yea, the very Eternal Father of heaven and of earth.	Mosiah 15:4	3	cross_reference
What do scriptures teach about the nature of God?	The Father has a body of flesh and bones as tangible as man's; the Son also; but the Holy Ghost has not a body of flesh and bones, but is a personage of Spirit. Were it not so, the Holy Ghost could not dwell in us.	D&C 130:22	3	cross_reference
What do scriptures teach about the nature of God?	By these things we know that there is a God in heaven, who is infinite and eternal, from everlasting to everlasting the same unchangeable God, the framer of heaven and earth, and all things which are in them;	D&C 20:17	3	cross_reference
What do scriptures teach about the nature of God?	And that I am in the Father, and the Father in me, and the Father and I are one—	D&C 93:3	3	cross_reference
How many days was Jesus in the tomb?	Saying, Sir, we remember that that deceiver said, while he was yet alive, After three days I will rise again.	Matthew 27:63	3	factual
How many days was Jesus in the tomb?	For as Jonas was three days and three nights in the whale's belly; so shall the Son of man be three days and three nights in the heart of the earth.	Matthew 12:40	3	factual
How many days was Jesus in the tomb?	Then when Jesus came, he found that he had lain in the grave four days already.	John 11:17	0	factual
How many days was Jesus in the tomb?	Command therefore that the sepulchre be made sure until the third day, lest his disciples come by night, and steal him away, and say unto the people, He is risen from the dead: so the last error shall be worse than the first.	Matthew 27:64	3	factual
How many days was Jesus in the tomb?	And laid it in his own new tomb, which he had hewn out in the rock: and he rolled a great stone to the door of the sepulchre, and departed.	Matthew 27:60	1	factual
Where did Lehi's family travel after leaving Jerusalem?	And it came to pass that he departed into the wilderness. And he left his house, and the land of his inheritance, and his gold, and his silver, and his precious things, and took nothing with him, save it were his family, and provisions, and tents, and departed into the wilderness.	1 Nephi 2:4	2	factual
Where did Lehi's family travel after leaving Jerusalem?	And he came down by the borders near the shore of the Red Sea; and he traveled in the wilderness in the borders which are nearer the Red Sea; and he did travel in the wilderness with his family, which consisted of my mother, Sariah, and my elder brothers, who were Laman, Lemuel, and Sam.	1 Nephi 2:5	3	factual
Where did Lehi's family travel after leaving Jerusalem?	And it came to pass that the Lord commanded my father, even in a dream, that he should take his family and depart into the wilderness.	1 Nephi 2:2	2	factual
Where did Lehi's family travel after leaving Jerusalem?	And it came to pass that when he had traveled three days in the wilderness, he pitched his tent in a valley by the side of a river of water.	1 Nephi 2:6	3	factual
Where did Lehi's family travel after leaving Jerusalem?	And it came to pass that we did again take our journey in the wilderness; and we did travel nearly eastward from that time forth. And we did travel and wade through much affliction in the wilderness; and our women did bear children in the wilderness.	1 Nephi 17:1	3	factual
What happened to the people of Ammonihah?	But they took their armies and went over into the borders of the land of Zarahemla, and fell upon the people who were in the land of Ammonihah and destroyed them.	Alma 25:2	3	factual
What happened to the people of Ammonihah?	And thus ended the eleventh year of the judges, the Lamanites having been driven out of the land, and the people of Ammonihah were destroyed; yea, every living soul of the Ammonihahites was destroyed, and also their great city, which they said God could not destroy, because of its greatness.	Alma 16:9	3	factual
What happened to the people of Ammonihah?	And now it came to pass, before the Nephites could raise a sufficient army to drive them out of the land, they had destroyed the people who were in the city of Ammonihah, and also some around the borders of Noah, and taken others captive into the wilderness.	Alma 16:3	3	factual
What happened to the people of Ammonihah?	And it came to pass that those rulers who were the remnant of the children of Amulon caused that they should be put to death, yea, all those that believed in these things.	Alma 25:7	1	factual
What happened to the people of Ammonihah?	But as to the people that were in the land of Ammonihah, they yet remained a hard-hearted and a stiffnecked people; and they repented not of their sins, ascribing all the power of Alma and Amulek to the devil; for they were of the profession of Nehor, and did not believe in the repentance of their sins.	Alma 15:15	2	factual
How do the Bible and Book of Mormon both describe the Messiah?	Yea, even six hundred years from the time that my father left Jerusalem, a prophet would the Lord God raise up among the Jews—even a Messiah, or, in other words, a Savior of the world.	1 Nephi 10:4	2	cross_reference
How do the Bible and Book of Mormon both describe the Messiah?	For according to the words of the prophets, the Messiah cometh in six hundred years from the time that my father left Jerusalem; and according to the words of the prophets, and also the word of the angel of God, his name shall be Jesus Christ, the Son of God.	2 Nephi 25:19	2	cross_reference
How do the Bible and Book of Mormon both describe the Messiah?	Wherefore, he shall bring forth his words unto them, which words shall judge them at the last day, for they shall be given them for the purpose of convincing them of the true Messiah, who was rejected by them; and unto the convincing of them that they need not look forward any more for a Messiah to come, for there should not any come, save it should be a false Messiah which should deceive the people; for there is save one Messiah spoken of by the prophets, and that Messiah is he who should be rejected of the Jews.	2 Nephi 25:18	2	cross_reference
How do the Bible and Book of Mormon both describe the Messiah?	And he also spake concerning the prophets, how great a number had testified of these things, concerning this Messiah, of whom he had spoken, or this Redeemer of the world.	1 Nephi 10:5	1	cross_reference
