query	document	reference	score	query_type
What are the different names for Christ in the Book of Mormon?	And now, as I, Moroni, said I could not make a full account of these things which are written, therefore it sufficeth me to say that Jesus showed himself unto this man in the spirit, even after the manner and in the likeness of the same body even as he showed himself unto the Nephites.	Ether 3:17	1	factual
What are the different names for Christ in the Book of Mormon?	I am the light and the life of the world. I am Alpha and Omega, the beginning and the end.	3 Nephi 9:18	3	factual
What are the different names for Christ in the Book of Mormon?	And we talk of Christ, we rejoice in Christ, we preach of Christ, we prophesy of Christ, and we write according to our prophecies, that our children may know to what source they may look for a remission of their sins.	2 Nephi 25:26	1	factual
What are the different names for Christ in the Book of Mormon?	For if there be no Christ there be no God; and if there be no God we are not, for there could have been no creation. But there is a God, and he is Christ, and he cometh in the fulness of his own time.	2 Nephi 11:7	2	factual
What are the different names for Christ in the Book of Mormon?	And after Christ shall have risen from the dead he shall show himself unto you, my children, and my beloved brethren; and the words which he shall speak unto you shall be the law which ye shall do.	2 Nephi 26:1	1	factual
What are the different names for Christ in the Book of Mormon?	And as many as have received me, to them have I given to become the sons of God; and even so will I to as many as shall believe on my name, for behold, by me redemption cometh, and in me is the law of Moses fulfilled.	3 Nephi 9:17	1	factual
What are the different names for Christ in the Book of Mormon?	The Father, because he was conceived by the power of God; and the Son, because of the flesh; thus becoming the Father and Son—	Mosiah 15:3	1	factual
What are the different names for Christ in the Book of Mormon?	And his name shall be called after me; and it shall be after the name of his father. And he shall be like unto me; for the thing, which the Lord shall bring forth by his hand, by the power of the Lord shall bring my people unto salvation.	2 Nephi 3:15	0	factual
What are the different names for Christ in the Book of Mormon?	And they who were baptized in the name of Jesus were called the church of Christ.	3 Nephi 26:21	1	factual
What are the different names for Christ in the Book of Mormon?	For behold, the time cometh, and is not far distant, that with power, the Lord Omnipotent who reigneth, who was, and is from all eternity to all eternity, shall come down from heaven among the children of men, and shall dwell in a tabernacle of clay, and shall go forth amongst men, working mighty miracles, such as healing the sick, raising the dead, causing the lame to walk, the blind to receive their sight, and the deaf to hear, and curing all manner of diseases.	Mosiah 3:5	2	factual
What are the different names for Christ in the Book of Mormon?	For unto us a child is born, unto us a son is given; and the government shall be upon his shoulder; and his name shall be called, Wonderful, Counselor, The Mighty God, The Everlasting Father, The Prince of Peace.	2 Nephi 19:6	3	factual
What are the different names for Christ in the Book of Mormon?	Behold, I am Jesus Christ, whom the prophets testified shall come into the world.	3 Nephi 11:10	3	factual
What are the different names for Christ in the Book of Mormon?	Wherefore, the people were desirous to retain in remembrance his name. And whoso should reign in his stead were called by the people, second Nephi, third Nephi, and so forth, according to the reigns of the kings; and thus they were called by the people, let them be of whatever name they would.	Jacob 1:11	0	factual
What are the different names for Christ in the Book of Mormon?	And they are one God, yea, the very Eternal Father of heaven and of earth.	Mosiah 15:4	1	factual
What are the different names for Christ in the Book of Mormon?	And lo, he cometh unto his own, that salvation might come unto the children of men even through faith on his name; and even after all this they shall consider him a man, and say that he hath a devil, and shall scourge him, and shall crucify him.	Mosiah 3:9	1	factual
What are the different names for Christ in the Book of Mormon?	And now behold, I say unto you that the right way is to believe in Christ, and deny him not; and Christ is the Holy One of Israel; wherefore ye must bow down before him, and worship him with all your might, mind, and strength, and your whole soul; and if ye do this ye shall in nowise be cast out.	2 Nephi 25:29	2	factual
What are the different names for Christ in the Book of Mormon?	And it shall come to pass that whosoever doeth this shall be found at the right hand of God, for he shall know the name by which he is called; for he shall be called by the name of Christ.	Mosiah 5:9	2	factual
What are the different names for Christ in the Book of Mormon?	And that he manifesteth himself unto all those who believe in him, by the power of the Holy Ghost; yea, unto every nation, kindred, tongue, and people, working mighty miracles, signs, and wonders, among the children of men according to their faith.	2 Nephi 26:13	0	factual
What are the different names for Christ in the Book of Mormon?	And behold, I am called Mormon, being called after the land of Mormon, the land in which Alma did establish the church among the people, yea, the first church which was established among them after their transgression.	3 Nephi 5:12	0	factual
What are the different names for Christ in the Book of Mormon?	Yea, even six hundred years from the time that my father left Jerusalem, a prophet would the Lord God raise up among the Jews—even a Messiah, or, in other words, a Savior of the world.	1 Nephi 10:4	3	factual
What are the different names for Christ in the Book of Mormon?	And the Lord God hath sent his holy prophets among all the children of men, to declare these things to every kindred, nation, and tongue, that thereby whosoever should believe that Christ should come, the same might receive remission of their sins, and rejoice with exceedingly great joy, even as though he had already come among them.	Mosiah 3:13	1	factual
What are the different names for Christ in the Book of Mormon?	Having ascended into heaven, having the bowels of mercy; being filled with compassion towards the children of men; standing betwixt them and justice; having broken the bands of death, taken upon himself their iniquity and their transgressions, having redeemed them, and satisfied the demands of justice.	Mosiah 15:9	0	factual
What are the different names for Christ in the Book of Mormon?	And then shall they know their Redeemer, who is Jesus Christ, the Son of God; and then shall they be gathered in from the four quarters of the earth unto their own lands, from whence they have been dispersed; yea, as the Lord liveth so shall it be. Amen.	3 Nephi 5:26	2	factual
What are the different names for Christ in the Book of Mormon?	And because he said unto them that Christ was the God, the Father of all things, and said that he should take upon him the image of man, and it should be the image after which man was created in the beginning; or in other words, he said that man was created after the image of God, and that God should come down among the children of men, and take upon him flesh and blood, and go forth upon the face of the earth—	Mosiah 7:27	2	factual
What are the different names for Christ in the Book of Mormon?	And after he had said these words, he said unto me: Look! And I looked, and I beheld the Son of God going forth among the children of men; and I saw many fall down at his feet and worship him.	1 Nephi 11:24	2	factual
What are the different names for Christ in the Book of Mormon?	And now, behold, my beloved brethren, this is the way; and there is none other way nor name given under heaven whereby man can be saved in the kingdom of God. And now, behold, this is the doctrine of Christ, and the only and true doctrine of the Father, and of the Son, and of the Holy Ghost, which is one God, without end. Amen.	2 Nephi 31:21	1	factual
What are the different names for Christ in the Book of Mormon?	And he said unto me: Awake, and hear the words which I shall tell thee; for behold, I am come to declare unto you the glad tidings of great joy.	Mosiah 3:3	0	factual
What are the different names for Christ in the Book of Mormon?	And how be it my church save it be called in my name? For if a church be called in Moses' name then it be Moses' church; or if it be called in the name of a man then it be the church of a man; but if it be called in my name then it is my church, if it so be that they are built upon my gospel.	3 Nephi 27:8	1	factual
What are the different names for Christ in the Book of Mormon?	And I said unto him: Then ye do not understand them; for they truly testify of Christ. Behold, I say unto you that none of the prophets have written, nor prophesied, save they have spoken concerning this Christ.	Jacob 7:11	1	factual
What are the different names for Christ in the Book of Mormon?	Behold, I am a disciple of Jesus Christ, the Son of God. I have been called of him to declare his word among his people, that they might have everlasting life.	3 Nephi 5:13	1	factual
What are the different names for Christ in the Book of Mormon?	And now Abinadi said unto them: I would that ye should understand that God himself shall come down among the children of men, and shall redeem his people.	Mosiah 15:1	1	factual
What are the different names for Christ in the Book of Mormon?	And not many days hence the Son of God shall come in his glory; and his glory shall be the glory of the Only Begotten of the Father, full of grace, equity, and truth, full of patience, mercy, and long-suffering, quick to hear the cries of his people and to answer their prayers.	Alma 9:26	2	factual
What are the different names for Christ in the Book of Mormon?	For these are they whose sins he has borne; these are they for whom he has died, to redeem them from their transgressions. And now, are they not his seed?	Mosiah 15:12	0	factual
What are the different names for Christ in the Book of Mormon?	And I would that ye should remember also, that this is the name that I said I should give unto you that never should be blotted out, except it be through transgression; therefore, take heed that ye do not transgress, that the name be not blotted out of your hearts.	Mosiah 5:11	1	factual
What are the different names for Christ in the Book of Mormon?	Behold, I am God; Man of Holiness is my name; Man of Counsel is my name; and Endless and Eternal is my name, also.	Moses 7:35	0	factual
What are the different names for Christ in the Book of Mormon?	Behold, I have come unto the world to bring redemption unto the world, to save the world from sin.	3 Nephi 9:21	1	factual
What are the different names for Christ in the Book of Mormon?	Wherefore, he shall bring forth his words unto them, which words shall judge them at the last day, for they shall be given them for the purpose of convincing them of the true Messiah, who was rejected by them; and unto the convincing of them that they need not look forward any more for a Messiah to come, for there should not any come, save it should be a false Messiah which should deceive the people; for there is save one Messiah spoken of by the prophets, and that Messiah is he who should be rejected of the Jews.	2 Nephi 25:18	1	factual
What are the different names for Christ in the Book of Mormon?	Therefore, whatsoever ye shall do, ye shall do it in my name; therefore ye shall call the church in my name; and ye shall call upon the Father in my name that he will bless the church for my sake.	3 Nephi 27:7	1	factual
When did the Jaredites leave the Tower of Babel?	Which Jared came forth with his brother and their families, with some others and their families, from the great tower, at the time the Lord confounded the language of the people, and swore in his wrath that they should be scattered upon all the face of the earth; and according to the word of the Lord the people were scattered.	Ether 1:33	3	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass, as they journeyed from the east, that they found a plain in the land of Shinar; and they dwelt there.	Genesis 11:2	1	factual
When did the Jaredites leave the Tower of Babel?	So the LORD scattered them abroad from thence upon the face of all the earth: and they left off to build the city.	Genesis 11:8	1	factual
When did the Jaredites leave the Tower of Babel?	And they said, Go to, let us build us a city and a tower, whose top may reach unto heaven; and let us make us a name, lest we be scattered abroad upon the face of the whole earth.	Genesis 11:4	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that the brother of Jared did cry unto the Lord, and the Lord had compassion upon Jared; therefore he did not confound the language of Jared; and Jared and his brother were not confounded.	Ether 1:35	3	factual
When did the Jaredites leave the Tower of Babel?	And Kib was the son of Orihah, who was the son of Jared;	Ether 1:32	1	factual
When did the Jaredites leave the Tower of Babel?	Then Jared said unto his brother: Cry again unto the Lord, and it may be that he will turn away his anger from them who are our friends, that he confound not their language.	Ether 1:36	2	factual
When did the Jaredites leave the Tower of Babel?	And the whole earth was of one language, and of one speech.	Genesis 11:1	1	factual
When did the Jaredites leave the Tower of Babel?	But behold, I give not the full account, but a part of the account I give, from the tower down until they were destroyed.	Ether 1:5	2	factual
When did the Jaredites leave the Tower of Babel?	Therefore is the name of it called Babel; because the LORD did there confound the language of all the earth: and from thence did the LORD scatter them abroad upon the face of all the earth.	Genesis 11:9	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that the brother of Jared did cry unto the Lord according to that which had been spoken by the mouth of Jared.	Ether 1:39	1	factual
When did the Jaredites leave the Tower of Babel?	And the LORD came down to see the city and the tower, which the children of men builded.	Genesis 11:5	1	factual
When did the Jaredites leave the Tower of Babel?	And thus they were driven forth, three hundred and forty and four days upon the water.	Ether 6:11	1	factual
When did the Jaredites leave the Tower of Babel?	And I take mine account from the twenty and four plates which were found by the people of Limhi, which is called the Book of Ether.	Ether 1:2	0	factual
When did the Jaredites leave the Tower of Babel?	And Terah took Abram his son, and Lot the son of Haran his son's son, and Sarai his daughter in law, his son Abram's wife; and they went forth with them from Ur of the Chaldees, to go into the land of Canaan; and they came unto Haran, and dwelt there.	Genesis 11:31	0	factual
When did the Jaredites leave the Tower of Babel?	And the days of Terah were two hundred and five years: and Terah died in Haran.	Genesis 11:32	1	factual
When did the Jaredites leave the Tower of Babel?	And as I suppose that the first part of this record, which speaks concerning the creation of the world, and also of Adam, and an account from that time even to the great tower, and whatsoever things transpired among the children of men until that time, is had among the Jews—	Ether 1:3	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that Jared and his brother, and their families, and also the friends of Jared and his brother and their families, went down into the valley which was northward, (and the name of the valley was Nimrod, being called after the mighty hunter) with their flocks which they had gathered together, male and female, of every kind.	Ether 2:1	2	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that the brother of Jared did cry unto the Lord, and the Lord had compassion upon their friends and their families also, that they were not confounded.	Ether 1:37	3	factual
When did the Jaredites leave the Tower of Babel?	And Shule was the son of Kib.	Ether 1:31	0	factual
When did the Jaredites leave the Tower of Babel?	And they said one to another, Go to, let us make brick, and burn them throughly. And they had brick for stone, and slime had they for mortar.	Genesis 11:3	1	factual
When did the Jaredites leave the Tower of Babel?	It also spake a few words concerning his fathers. And his first parents came out from the tower, at the time the Lord confounded the language of the people; and the severity of the Lord fell upon them according to his judgments, which are just; and their bones lay scattered in the land northward.	Omni 1:22	3	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that Jared spake again unto his brother, saying: Go and inquire of the Lord whether he will drive us out of the land, and if he will drive us out of the land, cry unto him whither we shall go. And who knoweth but the Lord will carry us forth into a land which is choice above all the earth? And if it so be, let us be faithful unto the Lord, that we may receive it for our inheritance.	Ether 1:38	2	factual
When did the Jaredites leave the Tower of Babel?	Go to and gather together thy flocks, both male and female, of every kind; and also of the seed of the earth of every kind; and thy families; and also Jared thy brother and his family; and also thy friends and their families, and the friends of Jared and their families.	Ether 1:41	1	factual
When did the Jaredites leave the Tower of Babel?	Go to, let us go down, and there confound their language, that they may not understand one another's speech.	Genesis 11:7	1	factual
When did the Jaredites leave the Tower of Babel?	And now I, Moroni, proceed to give an account of those ancient inhabitants who were destroyed by the hand of the Lord upon the face of this north country.	Ether 1:1	1	factual
When did the Jaredites leave the Tower of Babel?	And the brother of Jared being a large and mighty man, and a man highly favored of the Lord, Jared, his brother, said unto him: Cry unto the Lord, that he will not confound us that we may not understand our words.	Ether 1:34	2	factual
When did the Jaredites leave the Tower of Babel?	And Omer was the son of Shule.	Ether 1:30	0	factual
When did the Jaredites leave the Tower of Babel?	And the friends of Jared and his brother were in number about twenty and two souls; and they also begat sons and daughters before they came to the promised land; and therefore they began to be many.	Ether 6:16	1	factual
When did the Jaredites leave the Tower of Babel?	And when thou hast done this thou shalt go at the head of them down into the valley which is northward. And there will I meet thee, and I will go before thee into a land which is choice above all the lands of the earth.	Ether 1:42	1	factual
When did the Jaredites leave the Tower of Babel?	Now after Mosiah had finished translating these records, behold, it gave an account of the people who were destroyed, from the time that they were destroyed back to the building of the great tower, at the time the Lord confounded the language of the people and they were scattered abroad upon the face of all the earth, yea, and even from that time back until the creation of Adam.	Mosiah 28:17	2	factual
When did the Jaredites leave the Tower of Babel?	And Shiblon was the son of Com.	Ether 1:12	0	factual
When did the Jaredites leave the Tower of Babel?	And the beginning of his kingdom was Babel, and Erech, and Accad, and Calneh, in the land of Shinar.	Genesis 10:10	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that the Lord did hear the brother of Jared, and had compassion upon him, and said unto him:	Ether 1:40	1	factual
When did the Jaredites leave the Tower of Babel?	And Eber lived four and thirty years, and begat Peleg:	Genesis 11:16	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that Jared died, and his brother also.	Ether 6:29	0	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that they went forth upon the face of the land, and began to till the earth.	Ether 6:13	1	factual
When did the Jaredites leave the Tower of Babel?	And unto Eber were born two sons: the name of one was Peleg; for in his days was the earth divided; and his brother's name was Joktan.	Genesis 10:25	0	factual
When did the Jaredites leave the Tower of Babel?	And Lib was the son of Kish.	Ether 1:18	0	factual
When did the Jaredites leave the Tower of Babel?	And Kish was the son of Corom.	Ether 1:19	0	factual
When did the Jaredites leave the Tower of Babel?	And Amnigaddah was the son of Aaron.	Ether 1:15	0	factual
When did the Jaredites leave the Tower of Babel?	And now I, Moroni, proceed to give the record of Jared and his brother.	Ether 6:1	0	factual
When did the Jaredites leave the Tower of Babel?	And Coriantum was the son of Amnigaddah.	Ether 1:14	0	factual
When did the Jaredites leave the Tower of Babel?	And Haran died before his father Terah in the land of his nativity, in Ur of the Chaldees.	Genesis 11:28	0	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that they began to spread upon the face of the land, and to multiply and to till the earth; and they did wax strong in the land.	Ether 6:18	0	factual
When did the Jaredites leave the Tower of Babel?	And Eber lived after he begat Peleg four hundred and thirty years, and begat sons and daughters.	Genesis 11:17	1	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that when they had prepared all manner of food, that thereby they might subsist upon the water, and also food for their flocks and herds, and whatsoever beast or animal or fowl that they should carry with them—and it came to pass that when they had done all these things they got aboard of their vessels or barges, and set forth into the sea, commending themselves unto the Lord their God.	Ether 6:4	1	factual
When did the Jaredites leave the Tower of Babel?	And Jared had four sons; and they were called Jacom, and Gilgah, and Mahah, and Orihah.	Ether 6:14	0	factual
When did the Jaredites leave the Tower of Babel?	And Coriantum was the son of Emer.	Ether 1:28	0	factual
When did the Jaredites leave the Tower of Babel?	And it came to pass that the Lord commanded them that they should go forth into the wilderness, yea, into that quarter where there never had man been. And it came to pass that the Lord did go before them, and did talk with them as he stood in a cloud, and gave directions whither they should travel.	Ether 2:5	2	factual
Who was King Benjamin and what did he teach?	And also that they might give thanks to the Lord their God, who had brought them out of the land of Jerusalem, and who had delivered them out of the hands of their enemies, and had appointed just men to be their teachers, and also a just man to be their king, who had established peace in the land of Zarahemla, and who had taught them to keep the commandments of God, that they might rejoice and be filled with love towards God and all men.	Mosiah 2:4	3	person
Who was King Benjamin and what did he teach?	And moreover, I say unto you that I have caused that ye should assemble yourselves together, that I might declare unto you that I can no longer be your teacher, nor your king;	Mosiah 2:29	2	person
Who was King Benjamin and what did he teach?	And many more things did king Benjamin teach his sons, which are not written in this book.	Mosiah 1:8	2	person
Who was King Benjamin and what did he teach?	For even at this time, my whole frame doth tremble exceedingly while attempting to speak unto you; but the Lord God doth support me, and hath suffered me that I should speak unto you, and hath commanded me that I should declare unto you this day, that my son Mosiah is a king and a ruler over you.	Mosiah 2:30	2	person
Who was King Benjamin and what did he teach?	And it came to pass that after king Benjamin had made an end of teaching his sons, that he waxed old, and he saw that he must very soon go the way of all the earth; therefore, he thought it expedient that he should confer the kingdom upon one of his sons.	Mosiah 1:9	1	person
Who was King Benjamin and what did he teach?	And he also rehearsed unto them the last words which king Benjamin had taught them, and explained them to the people of king Limhi, so that they might understand all the words which he spake.	Mosiah 8:3	1	person
Who was King Benjamin and what did he teach?	And king Benjamin lived three years and he died.	Mosiah 6:5	1	person
Who was King Benjamin and what did he teach?	For the multitude being so great that king Benjamin could not teach them all within the walls of the temple, therefore he caused a tower to be erected, that thereby his people might hear the words which he should speak unto them.	Mosiah 2:7	2	person
Who was King Benjamin and what did he teach?	And I, even I, whom ye call your king, am no better than ye yourselves are; for I am also of the dust. And ye behold that I am old, and am about to yield up this mortal frame to its mother earth.	Mosiah 2:26	3	person
Who was King Benjamin and what did he teach?	And it came to pass that after Mosiah had done as his father had commanded him, and had made a proclamation throughout all the land, that the people gathered themselves together throughout all the land, that they might go up to the temple to hear the words which king Benjamin should speak unto them.	Mosiah 2:1	2	person
Who was King Benjamin and what did he teach?	And again, it came to pass that when king Benjamin had made an end of all these things, and had consecrated his son Mosiah to be a ruler and a king over his people, and had given him all the charges concerning the kingdom, and also had appointed priests to teach the people, that thereby they might hear and know the commandments of God, and to stir them up in remembrance of the oath which they had made, he dismissed the multitude, and they returned, every one, according to their families, to their own houses.	Mosiah 6:3	2	person
Who was King Benjamin and what did he teach?	And king Benjamin again opened his mouth and began to speak unto them, saying: My friends and my brethren, my kindred and my people, I would again call your attention, that ye may hear and understand the remainder of my words which I shall speak unto you.	Mosiah 4:4	2	person
Who was King Benjamin and what did he teach?	For behold, king Benjamin was a holy man, and he did reign over his people in righteousness; and there were many holy men in the land, and they did speak the word of God with power and with authority; and they did use much sharpness because of the stiffneckedness of the people—	Words of Mormon 1:17	2	person
Who was King Benjamin and what did he teach?	But I am like as yourselves, subject to all manner of infirmities in body and mind; yet I have been chosen by this people, and consecrated by my father, and was suffered by the hand of the Lord that I should be a ruler and a king over this people; and have been kept and preserved by his matchless power, to serve you with all the might, mind and strength which the Lord hath granted unto me.	Mosiah 2:11	3	person
Who was King Benjamin and what did he teach?	And even I, myself, have labored with mine own hands that I might serve you, and that ye should not be laden with taxes, and that there should nothing come upon you which was grievous to be borne—and of all these things which I have spoken, ye yourselves are witnesses this day.	Mosiah 2:14	3	person
Who was King Benjamin and what did he teach?	And behold also, if I, whom ye call your king, who has spent his days in your service, and yet has been in the service of God, do merit any thanks from you, O how you ought to thank your heavenly King!	Mosiah 2:19	3	person
Who was King Benjamin and what did he teach?	And it came to pass that he began to speak to his people from the tower; and they could not all hear his words because of the greatness of the multitude; therefore he caused that the words which he spake should be written and sent forth among those that were not under the sound of his voice, that they might also receive his words.	Mosiah 2:8	2	person
Who was King Benjamin and what did he teach?	I say unto you that I have caused that ye should assemble yourselves together that I might rid my garments of your blood, at this period of time when I am about to go down to my grave, that I might go down in peace, and my immortal spirit may join the choirs above in singing the praises of a just God.	Mosiah 2:28	2	person
Who was King Benjamin and what did he teach?	And it came to pass that after king Benjamin had made an end of these sayings to his son, that he gave him charge concerning all the affairs of the kingdom.	Mosiah 1:15	1	person
Who was King Benjamin and what did he teach?	Therefore, as I said unto you that I had served you, walking with a clear conscience before God, even so I at this time have caused that ye should assemble yourselves together, that I might be found blameless, and that your blood should not come upon me, when I shall stand to be judged of God of the things whereof he hath commanded me concerning you.	Mosiah 2:27	2	person
Who was King Benjamin and what did he teach?	And king Mosiah did cause his people that they should till the earth. And he also, himself, did till the earth, that thereby he might not become burdensome to his people, that he might do according to that which his father had done in all things. And there was no contention among all his people for the space of three years.	Mosiah 6:7	0	person
Who was King Benjamin and what did he teach?	And now, it came to pass that when king Benjamin had made an end of speaking the words which had been delivered unto him by the angel of the Lord, that he cast his eyes round about on the multitude, and behold they had fallen to the earth, for the fear of the Lord had come upon them.	Mosiah 4:1	2	person
Who was King Benjamin and what did he teach?	And now, king Benjamin thought it was expedient, after having finished speaking to the people, that he should take the names of all those who had entered into a covenant with God to keep his commandments.	Mosiah 6:1	1	person
Who was King Benjamin and what did he teach?	I say unto you, that there are not any among you, except it be your little children that have not been taught concerning these things, but what knoweth that ye are eternally indebted to your heavenly Father, to render to him all that you have and are; and also have been taught concerning the records which contain the prophecies which have been spoken by the holy prophets, even down to the time our father, Lehi, left Jerusalem;	Mosiah 2:34	3	person
Who was King Benjamin and what did he teach?	And Mosiah began to reign in his father's stead. And he began to reign in the thirtieth year of his age, making in the whole, about four hundred and seventy-six years from the time that Lehi left Jerusalem.	Mosiah 6:4	0	person
Who was King Benjamin and what did he teach?	And these are the words which he spake and caused to be written, saying: My brethren, all ye that have assembled yourselves together, you that can hear my words which I shall speak unto you this day; for I have not commanded you to come up hither to trifle with the words which I shall speak, but that you should hearken unto me, and open your ears that ye may hear, and your hearts that ye may understand, and your minds that the mysteries of God may be unfolded to your view.	Mosiah 2:9	3	person
Who was King Benjamin and what did he teach?	And it came to pass that king Mosiah did walk in the ways of the Lord, and did observe his judgments and his statutes, and did keep his commandments in all things whatsoever he commanded him.	Mosiah 6:6	1	person
Who was King Benjamin and what did he teach?	I have not commanded you to come up hither that ye should fear me, or that ye should think that I of myself am more than a mortal man.	Mosiah 2:10	3	person
Who was King Benjamin and what did he teach?	Behold, ye have called me your king; and if I, whom ye call your king, do labor to serve you, then ought not ye to labor to serve one another?	Mosiah 2:18	3	person
Who was King Benjamin and what did he teach?	I say unto you that as I have been suffered to spend my days in your service, even up to this time, and have not sought gold nor silver nor any manner of riches of you;	Mosiah 2:12	2	person
Who was King Benjamin and what did he teach?	And also, all that has been spoken by our fathers until now. And behold, also, they spake that which was commanded them of the Lord; therefore, they are just and true.	Mosiah 2:35	1	person
Who was King Benjamin and what did he teach?	And now, concerning this king Benjamin—he had somewhat of contentions among his own people.	Words of Mormon 1:12	1	person
Who was King Benjamin and what did he teach?	Behold, I say unto you that because I said unto you that I had spent my days in your service, I do not desire to boast, for I have only been in the service of God.	Mosiah 2:16	3	person
Who was King Benjamin and what did he teach?	And there were a great number, even so many that they did not number them; for they had multiplied exceedingly and waxed great in the land.	Mosiah 2:2	1	person
Who was King Benjamin and what did he teach?	O, all ye old men, and also ye young men, and you little children who can understand my words, for I have spoken plainly unto you that ye might understand, I pray that ye should awake to a remembrance of the awful situation of those that have fallen into transgression.	Mosiah 2:40	2	person
Who was King Benjamin and what did he teach?	And now, it came to pass that when king Benjamin had thus spoken to his people, he sent among them, desiring to know of his people if they believed the words which he had spoken unto them.	Mosiah 5:1	2	person
Who was King Benjamin and what did he teach?	And it came to pass also that the armies of the Lamanites came down out of the land of Nephi, to battle against his people. But behold, king Benjamin gathered together his armies, and he did stand against them; and he did fight with the strength of his own arm, with the sword of Laban.	Words of Mormon 1:13	1	person
Who was King Benjamin and what did he teach?	Therefore, he had Mosiah brought before him; and these are the words which he spake unto him, saying: My son, I would that ye should make a proclamation throughout all this land among all this people, or the people of Zarahemla, and the people of Mosiah who dwell in the land, that thereby they may be gathered together; for on the morrow I shall proclaim unto this my people out of mine own mouth that thou art a king and a ruler over this people, whom the Lord our God hath given us.	Mosiah 1:10	2	person
Who was King Benjamin and what did he teach?	And now there was no more contention in all the land of Zarahemla, among all the people who belonged to king Benjamin, so that king Benjamin had continual peace all the remainder of his days.	Mosiah 1:1	1	person
Who was King Benjamin and what did he teach?	Yet, my brethren, I have not done these things that I might boast, neither do I tell these things that thereby I might accuse you; but I tell you these things that ye may know that I can answer a clear conscience before God this day.	Mosiah 2:15	2	person
Who was King Benjamin and what did he teach?	Behold, I, Amaleki, was born in the days of Mosiah; and I have lived to see his death; and Benjamin, his son, reigneth in his stead.	Omni 1:23	1	person
